TOSI,TIL
27.95545657,59.41728688
28.03587595,59.11347512
28.15181899,59.82061063
28.34594751,59.43386781
27.62950032,58.88001046
27.1872851,58.81623154
26.99929924,58.14492865
26.8050179,57.62414628
26.95844437,57.82768755
27.09922784,57.69676879
27.16603599,57.74473311
27.37408066,58.17820712
27.49091711,57.96404833
27.42009872,58.101817
27.36224451,58.07821361
27.0258321,58.33812848
28.05103347,58.90573534
28.06193733,59.2991764
28.39564734,59.80419648
28.38921136,59.89484619
28.3914775,59.75627986
28.55708723,59.77630756
27.94960587,59.24623787
26.91149611,59.13857622
28.2311951,59.4305338
28.50784377,59.15164456
28.5999952,59.53491541
28.85223977,59.52474873
28.77990545,59.66695694
28.95005685,59.65232512
29.20610447,59.68111088
27.7702156,59.47676328
28.62777851,58.93016586
28.52170287,58.95118302
28.15645845,58.804492
27.80881087,58.435554
27.81793652,58.17845833
27.25402317,57.6662282
27.18588081,57.76304058
27.39640709,57.75788078
27.11762017,57.76095153
27.2435943,57.94519989
27.44441459,57.67591256
27.70086998,58.03733124
27.03976539,57.45741402
27.07437527,57.33986221
27.18981437,57.25676731
27.17793662,57.12862952
27.24491446,57.21963968
26.95391334,56.6746502
26.67226766,57.07880295
26.94586025,56.97025197
27.20513684,56.74125154
27.38662238,56.82703313
27.53319041,56.5973775
27.46023177,56.5890194
27.68497815,56.84423887
27.77381632,56.52017753
27.69656614,56.39581221
27.50507822,56.21463686
27.51509992,56.01665661
